file_id|series_id|slug_title|title
k|GNVHKN953|kays-daily-doodles|Kay's Daily Doodles
k|GYP84XNVY|kaze-no-stigma|Kaze No Stigma
k|GY0X54Q96|keep-your-hands-off-eizouken|Keep Your Hands Off Eizouken!
k|GY2PW178Y|keijo|Keijo!!!!!!!!
k|GXJHM3D8W|kekkaishi|Kekkaishi
k|G6Q4WK1QR|kemeko-dx|Kemeko DX
k|GRGGK327R|kemono-friends|Kemono Friends
k|GKEH2G492|kemono-jihen|Kemono Jihen
k|G8DHV7EPX|kemono-michi-rise-up|Kemono Michi: Rise Up
k|GEXH3W859|kenichi-the-mightiest-disciple|KenIchi: The Mightiest Disciple
k|GY49D29ZR|kenka-bancho-otome--girl-beats-boys-|Kenka Bancho Otome -Girl Beats Boys-
k|G6KEDW0W6|key-the-metal-idol|Key the Metal Idol
k|G62PVK096|kiddy-grade|Kiddy Grade
k|GY195XGZR|kiitaros-yokai-picture-diary|Kiitaro's yokai picture diary
k|GY8VM43GY|kill-la-kill|Kill la Kill
k|G6ZJMNX8Y|kimagure-orange-road|Kimagure Orange Road
k|GRDQVVNGY|kimi-ni-todoke---from-me-to-you|Kimi ni Todoke - From Me To You
k|GY1XE7VGY|king-of-prism--shiny-seven-stars-|KING OF PRISM -Shiny Seven Stars-
k|GRWE89KMR|kingdom|Kingdom
k|GY8V73KJY|kings-game|King's Game
k|GEXH3W44W|kings-raid-successors-of-the-will|KING's RAID: Successors of the Will
k|GY5VGNM0Y|kinos-journey--the-beautiful-world--the-animated-series|Kino's Journey -the Beautiful World- the Animated Series
k|G6W47P0ER|kira-kiraprecure-a-la-mode|KIRA KIRA☆PRECURE A LA MODE
k|GNVHKN854|kiratto-prichan|Kiratto Pri☆chan
k|G65VXM1P6|kiss-him-not-me|Kiss Him, Not Me
k|GJ0H7Q443|kiyo-in-kyoto-from-the-maiko-house|Kiyo in Kyoto: From the Maiko House
k|GYNQPV08Y|kiznaiver|KIZNAIVER
k|G0XHWM577|kizuna-no-allele|Kizuna no Allele
k|GYX08020R|knights--magic|Knight’s & Magic
k|GEXH3WKNN|knights-of-sidonia|Knights of Sidonia
k|G0XHWM5X2|kochoki|Kochoki
k|G6P81Z916|koihime-musou|Koihime Musou
k|GG5H5X7ZE|koikimo|Koikimo
k|G6X03MWPY|komori-san-cant-decline|Komori-san Can't Decline!
k|G6Q4MZ8GR|kono-aozora-ni-yakusoku-wo|Kono Aozora ni Yakusoku wo
k|GRJ05PZ0Y|kono-oto-tomare-sounds-of-life|Kono Oto Tomare!: Sounds of Life
k|GY5VGXG0Y|konohana-kitan|KONOHANA KITAN
k|GJ0H7Q5V7|konosuba--an-explosion-on-this-wonderful-world|KONOSUBA -An Explosion on This Wonderful World!
k|GYE5K3GQR|konosuba--gods-blessing-on-this-wonderful-world|KONOSUBA -God's blessing on this wonderful world!
k|GYWEK9KNY|koro-sensei-quest|Koro Sensei Quest!
k|G6JQKWZ4R|kotoura-san|Kotoura-San
k|GRGGJ4DWR|kowabon|KOWABON
k|GQWH0M990|kuma-kuma-kuma-bear|Kuma Kuma Kuma Bear
k|G649445JY|kumamiko--girl-meets-bear|Kumamiko -Girl Meets Bear
k|GYMGNKK7Y|kurau-phantom-memory|Kurau Phantom Memory
k|GNVHKN9Z2|kurayukaba--kuramerukagari|Kurayukaba & Kuramerukagari
k|G62P48X56|kurokos-basketball|Kuroko's Basketball
k|GYNVW44WR|kyo-kara-maoh|Kyo Kara Maoh
k|GR9PX1316|kyousougiga|Kyousougiga
l|GY8VX351Y|ladies-versus-butlers|Ladies Versus Butlers
l|GRWEW95KR|laid-back-camp|Laid-Back Camp
l|GYMGPQ3ZY|lance-n-masques|Lance N' Masques
l|GVDHX8JZE|lapis-relights|Lapis Re:LiGHTs
l|GY5VZ9PEY|last-exile|Last Exile
l|GRZJ7W0D6|last-period-the-journey-to-the-end-of-the-despair|Last Period: the journey to the end of the despair
l|G69VGQX3Y|lastexile--fam-the-silver-wing|LASTEXILE -Fam, the Silver Wing
l|G6XJ0518R|late-night-the-genius-bakabon|Late night! The Genius Bakabon
l|GYDQ2NXK6|laughing-under-the-clouds|Laughing Under the Clouds
l|G24H1N81X|lbx-girls|LBX Girls
l|G0XHWM5V4|lees-detective-agency|Lee's Detective Agency
l|G9VHN91ZP|legend-of-mana--the-teardrop-crystal-|Legend of Mana -The Teardrop Crystal-
l|GRW4DXNEY|legend-of-the-galactic-heroes-die-neue-these|Legend of the Galactic Heroes: Die Neue These
l|GW4HM7W0Q|let-me-check-the-walkthrough-first|Let Me Check the Walkthrough First
l|GQWH0M434|lets-make-a-mug-too|Let's Make a Mug Too
l|G6WEM2DJ6|leviathan--the-last-defense-|Leviathan -The Last Defense-
l|GXJHM3G34|liar-liar|Liar, Liar
l|GYKE9JW1Y|libra-of-nil-admirari|Libra of Nil Admirari
l|GRDQ40W1Y|library-war|Library War
l|GNVHKN75X|life-lessons-with-uramichi-oniisan|Life Lessons with Uramichi Oniisan
l|GQWH0M90V|life-with-an-ordinary-guy-who-reincarnated-into-a-total-fantasy-knockout|Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout
l|GYVNDKK06|lilpri|Lilpri
l|GP5HJ8E81|link-click|Link Click
l|G6X03JPMY|lisa-tv|LiSA TV
l|G8DHV7E4G|listeners|Listeners
l|GY9P3ME4R|locodol|Locodol
l|GRVNMG93Y|log-horizon|Log Horizon
l|G67529WMR|looking-up-at-the-half-moon|Looking Up at the Half-Moon
l|GRG5X224R|lord-el-melloi-iis-case-files-rail-zeppelin-grace-note|Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note
l|GYWEZN1NY|lord-marksman-and-vanadis|Lord Marksman and Vanadis
l|GRVDN2JPR|lord-of-vermilion-the-crimson-king|Lord of Vermilion: The Crimson King
l|GYP81WDMY|lost-universe|Lost Universe
l|GRMG1E35R|lostorage-incited-wixoss|Lostorage incited WIXOSS
l|GEXH3WG78|love-after-world-domination|Love After World Domination
l|GKEH2G4MW|love-all-play|Love All Play
l|GQWH0M4NN|love-hina-again|Love Hina Again
l|G6P8QX856|love-is-like-a-cocktail|Love is Like a Cocktail
l|GRWEMVNQR|love-lab|Love Lab
l|G63W41WQ6|love-live-nijigasaki-high-school-idol-club|Love Live! Nijigasaki High School Idol Club
l|GRZX4X5MY|love-live-school-idol-project|Love Live! School Idol Project
l|GRWEX4X8R|love-live-sunshine|Love Live! Sunshine!!
l|G3KHEVPWE|love-live-superstar|Love Live! Superstar!!
l|G0XHWM0XW|love-of-kill|Love of Kill
l|G6VN4V7ZR|love-rice|Love Rice
l|GRP8DPXMR|love-stage|Love Stage!!
l|GR8DW3J9R|love-to-lie-angle|Love To-LIE-Angle
l|G6NQ59GG6|love-tyrant|Love Tyrant
l|GR79XXJV6|lovely-complex|Lovely Complex
l|G6NQX5P06|lovely-muuuuuuuco|Lovely Muuuuuuuco!
l|G1XHJV22X|lucifer-and-the-biscuit-hammer|Lucifer and the Biscuit Hammer
l|GY8V7NP8Y|lucky-star|Lucky Star
l|GYKE9NP1Y|lupin-the-3rd-part-5|LUPIN THE 3rd PART 5
l|G6GG9E9E6|lupin-the-3rd-part4|LUPIN THE 3rd PART4
l|GY795JDZR|lupin-the-third---the-woman-called-fujiko-mine|Lupin the Third - The Woman Called Fujiko Mine
l|G6X01XXKY|lupin-the-third-part-1|Lupin the Third Part 1
l|GRX031256|lupin-the-third-part-2|Lupin the Third Part 2
l|G6X034P0Y|lupin-the-third-part-3|Lupin the Third Part 3
l|GRK5KDJ86|lychee-light-club|Lychee Light Club
l|G1XHJV2X9|lycoris-recoil|Lycoris Recoil
m|G6P84X3K6|maerchen-maedchen|Maerchen Maedchen
m|GKEH2G5P7|maesetsu-opening-act|Maesetsu! Opening Act
m|GG5H5X0Q2|magatsu-wahrheit|MAGATSU WAHRHEIT
m|GY09XN14Y|magi|Magi
m|G6QWDD096|magia-record-puella-magi-madoka-magica-side-story|Magia Record: Puella Magi Madoka Magica Side Story
m|GRDQN0M9Y|magic-kaito-1412|Magic Kaito 1412
m|G1XHJV270|magic-knight-rayearth|Magic Knight Rayearth
m|G6Q4MKD4R|magic-kyun-renaissance|Magic-Kyun! Renaissance
m|G63VJXPQY|magic-users-club|Magic User's Club
m|G63VXK2NY|magical-circle-guru-guru|MAGICAL CIRCLE GURU-GURU
m|GZJH3D01P|magical-destroyers|Magical Destroyers
m|G6P5WP3G6|magical-girl-ore|Magical Girl Ore
m|GRQ4MKN4Y|magical-girl-raising-project|Magical Girl Raising Project
m|GR5PZ3P3R|magical-girl-spec-ops-asuka|Magical Girl Spec-Ops Asuka
m|GRG5W78WR|magical-sempai|Magical Sempai
m|GY2PE0J5Y|magical-somera-chan|Magical Somera-chan
m|GRJQ0888Y|magicians-academy|Magicians Academy
m|G6DQ137WR|magikano|Magikano
m|GR49140W6|magimoji-rurumo|Magimoji Rurumo
m|G1XHJVE9P|mahjong-soul-pon|Mahjong Soul Pon☆
m|G1XHJV8PX|mahoraba-heartful-days|Mahoraba ~Heartful Days~
m|GR49M8GQ6|mahou-shoujo-nante-mouiidesukara|Mahou Shoujo Nante Mouiidesukara
m|G6JQ2QQER|mahou-shoujo-naria-girls|Mahou Shoujo? Naria Girls
m|GRJQVKQWY|majin-bone|Majin Bone
m|G6P5WVEQ6|major-2nd|MAJOR 2nd
m|G6VNMPN5R|makai-ouji-devils-and-realist|Makai Ouji: Devils and Realist
m|GRZXGP4VY|maken-ki|Maken-ki!
m|GYJQ8G4V6|makeruna-aku-no-gundan|Makeruna!! Aku no Gundan!
m|G6DQN778R|makuranodanshi|makuranodanshi
m|GDKHZEPW1|malevolent-spirits-mononogatari|Malevolent Spirits: Mononogatari
m|GR5VJEX5R|mangirl|Mangirl!
m|G0XHWM1VK|manyu-scroll|Manyu Scroll
m|G63VWP9VY|maoyu|Maoyu
m|GRVNXWQZY|march-comes-in-like-a-lion|March comes in like a lion
m|G6WEK75J6|marginal-4-the-animation|MARGINAL #4 the Animation
m|G1XHJV08V|marginal-prince|Marginal Prince
m|GQWH0MD5X|maria-the-virgin-witch|Maria the Virgin Witch
m|G6EX2559R|marmalade-boy|Marmalade Boy
m|GKEH2G472|mars-red|MARS RED
m|GYNQD7MQY|martian-successor-nadesico|Martian Successor Nadesico
m|GYX02P3MR|masamune-kuns-revenge|Masamune-kun's Revenge
m|GDKHZEP8W|mashle-magic-and-muscles|MASHLE: MAGIC AND MUSCLES
m|GRGG9XVPR|mazinger-edition-z|Mazinger Edition Z
m|GKEH2G031|me--roboco|ME & ROBOCO
m|G79H23KPN|megabeast-investigator-juspion|Megabeast Investigator Juspion
m|GR4PVJ1WY|megalobox|MEGALOBOX
m|GW4HM7W4Q|meiji-gekken-1874|Meiji Gekken: 1874
